original,abcd,custom_new,remark,check_abcd,confirm_abcd,confirm_newlabel
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
1,c,0,,1.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
1,c,0,,1.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
1,c,1,,0.0,X,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
1,c,0,,1.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
1,c,0,,1.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
1,c,0,,1.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
1,c,0,,1.0,O,X
1,c,0,,1.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
1,c,0,,1.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,M,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
1,c,1,,0.0,X,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,M,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
1,c,0,,1.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,M,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
1,c,0,,0.0,X,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
1,c,0,,1.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
1,c,0,,1.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,M,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,M,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,M,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
1,c,0,,1.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,M,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
0,b,1,,0.0,O,X
